OID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,ARPT_NAME,CITY,COUNTRY_CODE,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,RWY_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL,RWY_LEN,RWY_WIDTH,SURFACE_TYPE_CODE,COND,TREATMENT_CODE,PCN,PAVEMENT_TYPE_CODE,SUBGRADE_STRENGTH_CODE,TIRE_PRES_CODE,DTRM_METHOD_CODE,RWY_LGT_CODE,RWY_LEN_SOURCE,LENGTH_SOURCE_DATE,GROSS_WT_SW,GROSS_WT_DW,GROSS_WT_DTW,GROSS_WT_DDTW,Shape__Area,Shape__Length
1,7/11/2024 12:00:00 AM,00103.,A,AL,0J0,ABBEVILLE MUNI,ABBEVILLE,US,PU,PU,17/35,31.60416388,-85.23894444,31.59626666,-85.23767222,2900,80,ASPH,FAIR,AFSC,,,,,,MED,NACO,2/20/2002 12:00:00 AM,,,,,2.04833031602902E-06,0.0165106815636389
2,7/11/2024 12:00:00 AM,00106.,A,AL,2A8,ADDISON MUNI,ADDISON,US,PU,PU,05/23,34.21475,-87.16145,34.21953333,-87.15486666,2644,112,TURF,GOOD,NONE,,,,,,,OWNER,8/8/2011 12:00:00 AM,,,,,2.69163774646586E-06,0.0169479497724232
3,7/11/2024 12:00:00 AM,00110.,A,AL,EET,SHELBY COUNTY,ALABASTER,US,PU,PU,16/34,33.18411386,-86.78637688,33.17144422,-86.78004994,5000,75,ASPH,FAIR,NONE,,,,,,MED,STATE,6/13/2006 12:00:00 AM,16,,,,3.3681371860439E-06,0.0288024661926619
4,7/11/2024 12:00:00 AM,00112.1,A,AL,8A0,ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD,ALBERTVILLE,US,PU,PU,05/23,34.22352413,-86.26330863,34.2346935,-86.24820202,6114,100,ASPH,EXCELLENT,GRVD,,,,,,MED,3RD PARTY SURVEY,10/27/2007 12:00:00 AM,60,90,130,,5.55728888684826E-06,0.0381763800602827
5,7/11/2024 12:00:00 AM,00116.,A,AL,ALX,THOMAS C RUSSELL FLD,ALEXANDER CITY,US,PU,PU,18/36,32.92218647,-85.9633335,32.90730061,-85.9625708,5422,96,ASPH,FAIR,GRVD,,,,,,MED,3RD PARTY SURVEY,1/19/2010 12:00:00 AM,30,,,,4.66074106952874E-06,0.0304362155526083
6,7/11/2024 12:00:00 AM,00119.,A,AL,AIV,GEORGE DOWNER,ALICEVILLE,US,PU,PU,06/24,33.10348055,-88.20436111,33.11000833,-88.18998888,5001,80,ASPH,GOOD,NONE,,,,,,MED,NACO,10/15/2004 12:00:00 AM,,,,,3.59068758370995E-06,0.032030112756877
7,7/11/2024 12:00:00 AM,00124.,A,AL,79J,SOUTH ALABAMA RGNL AT BILL BENTON FLD,ANDALUSIA,US,PU,PU,11/29,31.31071491,-86.40143094,31.30598988,-86.38302591,6000,100,ASPH,GOOD,NONE,,,,,,MED,NGS,4/14/2010 12:00:00 AM,98,160,275,,5.28097848473408E-06,0.0385615363147568
8,7/11/2024 12:00:00 AM,00128.,A,AL,ANB,ANNISTON RGNL,ANNISTON,US,PU,PU,05/23,33.58179016,-85.86671608,33.59454638,-85.84951163,7000,150,ASPH,EXCELLENT,GRVD,10,F,C,X,T,HIGH,NGS,8/6/2006 12:00:00 AM,28,43.5,260,,9.47452599575627E-06,0.0437338231200839
9,7/11/2024 12:00:00 AM,00133.5,A,AL,1M3,ARDMORE,ARDMORE,US,PR,PU,01/19,34.97543736,-86.88417186,34.98271222,-86.88239777,2700,100,TURF,FAIR,NONE,,,,,,,,,,,,,2.47680941356521E-06,0.015639536075414
10,7/11/2024 12:00:00 AM,00135.,A,AL,26A,ASHLAND/LINEVILLE,ASHLAND/LINEVILLE,US,PU,PU,09/27,33.28419722,-85.81554722,33.28419722,-85.80238333,4023,80,ASPH,GOOD,NONE,,,,,,MED,ADO,8/23/2012 12:00:00 AM,20,,,,2.89415356746758E-06,0.0267674915448325
11,7/11/2024 12:00:00 AM,00139.01,A,AL,56AL,BEECHWOOD AIRPARK,ATHENS,US,PR,PR,18/36,34.77638888,-87.17472222,34.76916666,-87.17444444,2630,60,TURF-DIRT,,NONE,,,,,,,OWNER,9/5/2023 12:00:00 AM,,,,,1.44359682963113E-06,0.014854622089133
12,7/11/2024 12:00:00 AM,00140.1,A,AL,0R1,ATMORE MUNI,ATMORE,US,PU,PU,18/36,31.02302386,-87.4467778,31.00927461,-87.44673266,5001,80,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,9/27/2016 12:00:00 AM,16,,,,3.51105586560152E-06,0.028009372912659
13,7/11/2024 12:00:00 AM,00146.,A,AL,AUO,AUBURN UNIVERSITY RGNL,AUBURN,US,PU,PU,11/29,32.61958108,-85.4373513,32.61630966,-85.42495,4000,75,ASPH,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,5/22/2006 12:00:00 AM,25,42,,,2.67767040895706E-06,0.0260705189337686
14,7/11/2024 12:00:00 AM,00146.,A,AL,AUO,AUBURN UNIVERSITY RGNL,AUBURN,US,PU,PU,18/36,32.6202013,-85.43603569,32.60573677,-85.43634563,5264,100,ASPH,EXCELLENT,GRVD,,,,,,HIGH,3RD PARTY SURVEY,5/22/2006 12:00:00 AM,45,75,,,4.69801921099133E-06,0.0295851536978941
15,7/11/2024 12:00:00 AM,00155.,A,AL,1R8,BAY MINETTE MUNI,BAY MINETTE,US,PU,PU,08/26,30.86976738,-87.82806072,30.87088183,-87.8105805,5500,79,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,11/16/2008 12:00:00 AM,28,,,,3.80687538381608E-06,0.0354662047813801
16,7/11/2024 12:00:00 AM,00155.05,A,AL,96AL,BENT OAK,BAY MINETTE,US,PR,PR,18/36,30.82959905,-87.88940383,30.82577,-87.888951,1400,200,TURF,,NONE,,,,,,,OWNER,2/22/2024 12:00:00 AM,,,,,2.45236992668652E-06,0.00898409973480747
17,7/11/2024 12:00:00 AM,00155.31,A,AL,5R7,ROY E RAY,BAYOU LA BATRE,US,PR,PU,18/36,30.45799725,-88.21124025,30.45249791,-88.21112497,2000,150,TURF,GOOD,NONE,,,,,,,,,,,,,2.61833065451356E-06,0.0119531349167452
18,7/11/2024 12:00:00 AM,00157.1,A,AL,EKY,BESSEMER,BESSEMER,US,PU,PU,05/23,33.30728502,-86.933812,33.31793675,-86.91879197,6007,100,ASPH,GOOD,GRVD,,,,,,HIGH,3RD PARTY SURVEY,11/4/2008 12:00:00 AM,60,60,,,5.40312589691894E-06,0.0374227998469882
19,7/11/2024 12:00:00 AM,00164.,A,AL,BHM,BIRMINGHAM-SHUTTLESWORTH INTL,BIRMINGHAM,US,PU,PU,06/24,33.55477952,-86.77156908,33.57348041,-86.73909686,12007,150,ASPH,GOOD,GRVD,65,F,C,X,T,HIGH,3RD PARTY SURVEY,7/2/2015 12:00:00 AM,175,205,350,,1.62467601967364E-05,0.0758235936205683
20,7/11/2024 12:00:00 AM,00164.,A,AL,BHM,BIRMINGHAM-SHUTTLESWORTH INTL,BIRMINGHAM,US,PU,PU,18/36,33.57321347,-86.74719025,33.55370516,-86.74720019,7099,150,ASPH,GOOD,GRVD,45,F,C,X,T,MED,3RD PARTY SURVEY,7/2/2015 12:00:00 AM,75,170,240,,9.60556644713506E-06,0.0400013923778319
21,7/11/2024 12:00:00 AM,00186.,A,AL,12J,BREWTON MUNI,BREWTON,US,PU,PU,06/24,31.0499743,-87.07578419,31.05640886,-87.06118605,5136,150,ASPH,FAIR,NONE,,,,,,,3RD PARTY SURVEY,11/6/2008 12:00:00 AM,40,60,,,6.76300987834111E-06,0.032760823268962
22,7/11/2024 12:00:00 AM,00186.,A,AL,12J,BREWTON MUNI,BREWTON,US,PU,PU,12/30,31.05158766,-87.0729395,31.0447405,-87.05909119,5001,150,ASPH,POOR,NONE,,,,,,MED,3RD PARTY SURVEY,3/20/2020 12:00:00 AM,40,60,,,6.58539056530572E-06,0.0317569076435711
23,7/11/2024 12:00:00 AM,00199.1,A,AL,09A,BUTLER/CHOCTAW COUNTY,BUTLER,US,PU,PU,12/30,32.12173947,-88.1334035,32.11688138,-88.12152111,4082,80,ASPH,POOR,NONE,,,,,,MED,3RD PARTY SURVEY,11/25/2014 12:00:00 AM,15,,,,2.8987810765102E-06,0.0261295063239743
24,7/11/2024 12:00:00 AM,00207.1,A,AL,61A,CAMDEN MUNI,CAMDEN,US,PU,PU,18/36,31.98566105,-87.33921169,31.97383511,-87.33902047,4303,80,ASPH,FAIR,AFSC,,,,,,MED,3RD PARTY SURVEY,1/29/2015 12:00:00 AM,27,,,,3.05132084577053E-06,0.0241709475342329
25,7/11/2024 12:00:00 AM,00218.12,A,AL,PYP,CENTRE-PIEDMONT-CHEROKEE COUNTY RGNL,CENTRE,US,PU,PU,07/25,34.08648733,-85.61816425,34.09335086,-85.6019815,5500,100,ASPH,GOOD,AFSC,,,,,,MED,3RD PARTY SURVEY,12/8/2009 12:00:00 AM,,,,,4.99120460517588E-06,0.0357304078084884
26,7/11/2024 12:00:00 AM,00218.7,A,AL,0A8,BIBB COUNTY,CENTREVILLE,US,PU,PU,10/28,32.93744166,-87.097375,32.93643611,-87.08371944,4206,80,ASPH,EXCELLENT,AFSC,,,,,,MED,FAA,5/20/2009 12:00:00 AM,18,,,,3.01384011436312E-06,0.0278254768986634
27,7/11/2024 12:00:00 AM,00226.5,A,AL,5R1,ROY WILCOX,CHATOM,US,PU,PU,12/30,31.45444836,-88.19996172,31.44888541,-88.18889152,4002,80,ASPH,FAIR,NONE,,,,,,MED,ARPTS CONTRACTOR,6/5/2013 12:00:00 AM,15,,,,2.82199039247644E-06,0.0252383594204062
28,7/11/2024 12:00:00 AM,00233.,A,AL,02A,CHILTON COUNTY,CLANTON,US,PU,PU,08/26,32.84937308,-86.61782066,32.85159583,-86.60504425,4007,100,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,1/15/2015 12:00:00 AM,16,,,,3.58525448973523E-06,0.0264908140897734
29,7/11/2024 12:00:00 AM,00234.,A,AL,11A,CLAYTON MUNI,CLAYTON,US,PU,PU,10/28,31.88412183,-85.49323733,31.88252663,-85.47721211,5010,80,ASPH,EXCELLENT,AFSC,,,,,,HIGH,3RD PARTY SURVEY,10/30/2008 12:00:00 AM,,,,,3.54790859091736E-06,0.032649750006794
30,7/11/2024 12:00:00 AM,00245.,A,AL,9A4,COURTLAND,COURTLAND,US,PU,PU,13/31,34.66150075,-87.35372416,34.65268608,-87.34099897,4994,100,CONC,POOR,NONE,,,,,,HIGH,3RD PARTY SURVEY,12/1/2009 12:00:00 AM,,,,,4.56233351542323E-06,0.03155978573212
31,7/11/2024 12:00:00 AM,00245.,A,AL,9A4,COURTLAND,COURTLAND,US,PU,PU,18/36,34.66445277,-87.35078055,34.65491666,-87.34976666,3484,150,CONC,POOR,NONE,,,,,,,3RD PARTY SURVEY,12/1/2009 12:00:00 AM,,,,,4.77470848636585E-06,0.0201760560507063
32,7/11/2024 12:00:00 AM,00246.,A,AL,15A,MARK REYNOLDS/NORTH MOBILE COUNTY,CREOLA,US,PR,PU,03/21,30.90696286,-87.99829569,30.9112968,-87.99436866,2000,180,TURF,GOOD,NONE,,,,,,NSTD,,,,,,,3.15649913318339E-06,0.0127875551494458
33,7/11/2024 12:00:00 AM,00248.3,A,AL,CMD,CULLMAN RGNL/FOLSOM FLD,CULLMAN,US,PU,PU,02/20,34.26145794,-86.86062197,34.27594711,-86.85544791,5500,100,ASPH,EXCELLENT,GRVD,,,,,,MED,3RD PARTY SURVEY,8/25/2022 12:00:00 AM,30,,,,5.00180021845154E-06,0.0314241470093393
34,7/11/2024 12:00:00 AM,00250.1,A,AL,4R9,JEREMIAH DENTON,DAUPHIN ISLAND,US,PU,PU,12/30,30.26274866,-88.13144522,30.25821447,-88.12350097,3000,80,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,5/17/2021 12:00:00 AM,30,,,,2.09127756534144E-06,0.0187553791876811
35,7/11/2024 12:00:00 AM,00250.21,A,AL,54AL,BELFOREST FLD,DAPHNE,US,PR,PR,16/34,30.60026944,-87.823175,30.59480555,-87.81949166,2300,80,TURF,,NONE,,,,,,,OWNER,7/1/2021 12:00:00 AM,,,,,1.60820241035253E-06,0.0136709447833418
36,7/11/2024 12:00:00 AM,00251.,A,AL,DCU,PRYOR FLD RGNL,DECATUR,US,PU,PU,18/36,34.66243888,-86.94516388,34.64566388,-86.94556111,6107,100,ASPH,FAIR,GRVD,35,F,B,X,T,HIGH,STATE,1/12/2006 12:00:00 AM,75,125,150,,5.57868020223395E-06,0.0342243542131348
37,7/11/2024 12:00:00 AM,00254.,A,AL,DYA,DEMOPOLIS RGNL,DEMOPOLIS,US,PU,PU,04/22,32.45877761,-87.95956008,32.46887002,-87.94854655,5002,100,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,1/10/2010 12:00:00 AM,30,38,60,,4.4575392621482E-06,0.0304816157660633
38,7/11/2024 12:00:00 AM,00267.,A,AL,DHN,DOTHAN RGNL,DOTHAN,US,PU,PU,14/32,31.33058922,-85.46164577,31.31408238,-85.44238308,8499,150,ASPH,GOOD,GRVD,34,F,B,X,T,HIGH,3RD PARTY SURVEY,6/30/2012 12:00:00 AM,75,105,190,,1.12232760329789E-05,0.0516308354674735
39,7/11/2024 12:00:00 AM,00267.,A,AL,DHN,DOTHAN RGNL,DOTHAN,US,PU,PU,18/36,31.32654147,-85.44556005,31.31142672,-85.44555755,5498,100,ASPH,EXCELLENT,GRVD,30,F,B,X,T,HIGH,3RD PARTY SURVEY,6/30/2012 12:00:00 AM,75,105,190,,4.84003135170497E-06,0.0308699384248172
40,7/11/2024 12:00:00 AM,00267.6,A,AL,14J,CARL FOLSOM,ELBA,US,PU,PU,01/19,31.40599166,-86.09165277,31.414075,-86.08905833,3050,75,ASPH,FAIR,NONE,,,,,,MED,OWNER,8/24/2009 12:00:00 AM,4,,,,2.0154848243692E-06,0.0174552820600558
41,7/11/2024 12:00:00 AM,00287.1,A,AL,EDN,ENTERPRISE MUNI,ENTERPRISE,US,PU,PU,05/23,31.29540769,-85.90624311,31.30402644,-85.89344722,5080,100,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,7/25/2007 12:00:00 AM,,,,,4.47077968601661E-06,0.0314415782569568
42,7/11/2024 12:00:00 AM,00290.,A,AL,EUF,WEEDON FLD,EUFAULA,US,PU,PU,18/36,31.95817716,-85.12841941,31.9444598,-85.1294373,5000,100,ASPH,GOOD,NONE,11,F,A,X,T,MED,,,,,,,4.43122826254694E-06,0.028154586717761
43,7/11/2024 12:00:00 AM,00293.,A,AL,3A7,EUTAW MUNI,EUTAW,US,PU,PU,16/34,32.82509325,-87.86698738,32.81573625,-87.86316952,3600,80,ASPH,POOR,NONE,,,,,,MED,,,,,,,2.57707665696216E-06,0.0207246300109633
44,7/11/2024 12:00:00 AM,00296.,A,AL,GZH,EVERGREEN RGNL/MIDDLETON FLD,EVERGREEN,US,PU,PU,01/19,31.40652247,-87.04776944,31.42022747,-87.04627513,5005,150,ASPH,FAIR,NONE,,,,,,MED,ADO,1/17/2012 12:00:00 AM,,,,,6.61824606140726E-06,0.0285329681864938
45,7/11/2024 12:00:00 AM,00296.,A,AL,GZH,EVERGREEN RGNL/MIDDLETON FLD,EVERGREEN,US,PU,PU,10/28,31.41775127,-87.04759722,31.41547786,-87.03177769,5004,150,ASPH,GOOD,NONE,,,,,,MED,ADO,3/25/2013 12:00:00 AM,30,50,,,6.6141467414127E-06,0.0327928434897437
46,7/11/2024 12:00:00 AM,00300.3,A,AL,CQF,H L SONNY CALLAHAN,FAIRHOPE,US,PU,PU,01/19,30.45155255,-87.87873875,30.46946719,-87.87532458,6604,100,ASPH,FAIR,GRVD,,,,,,HIGH,3RD PARTY SURVEY,12/15/2007 12:00:00 AM,36,58,,,5.76264619667199E-06,0.0371067966593517
47,7/11/2024 12:00:00 AM,00302.,A,AL,M95,RICHARD ARTHUR FLD,FAYETTE,US,PU,PU,01/19,33.70223022,-87.81558138,33.71598155,-87.81483594,5009,80,ASPH,GOOD,GRVD,10,F,C,X,T,MED,STATE,12/10/2017 12:00:00 AM,15,,,,3.62095283890085E-06,0.0280689728025167
48,7/11/2024 12:00:00 AM,00308.5,A,AL,0J4,FLORALA MUNI,FLORALA,US,PU,PU,04/22,31.03899166,-86.314675,31.04595555,-86.30844722,3197,75,ASPH,GOOD,NONE,,,,,,MED,,,,,,,2.10472876460699E-06,0.019140159367207
49,7/11/2024 12:00:00 AM,00323.3,A,AL,5R4,FOLEY MUNI,FOLEY,US,PU,PU,18/36,30.43276286,-87.70095888,30.42259108,-87.70096702,3700,74,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,12/2/2014 12:00:00 AM,28,,,,2.38813254327397E-06,0.0208131260349515
50,7/11/2024 12:00:00 AM,00323.4,A,AL,NBJ,BARIN NOLF,FOLEY,US,MN,PR,09/27,30.38863213,-87.64152883,30.38843016,-87.62567172,5000,150,ASPH,,NONE,18,F,B,W,T,,MILITARY,11/14/2018 12:00:00 AM,,,,,6.54044379189145E-06,0.0325416547107908
51,7/11/2024 12:00:00 AM,00323.4,A,AL,NBJ,BARIN NOLF,FOLEY,US,MN,PR,15/33,30.39809658,-87.63338827,30.38609658,-87.6256515,5000,150,ASPH,,NONE,18,F,A,W,T,,MILITARY,11/14/2018 12:00:00 AM,,,,,6.53997062727285E-06,0.0294786402785599
52,7/11/2024 12:00:00 AM,00326.,A,AL,67A,FORT DEPOSIT-LOWNDES COUNTY,FORT DEPOSIT,US,PU,PU,15/33,31.9764,-86.5949,31.96781666,-86.58911666,3593,78,ASPH,POOR,NONE,,,,,,MED,,,15,,,,2.48966989602195E-06,0.0211855228005719
53,7/11/2024 12:00:00 AM,00328.1,A,AL,4A9,ISBELL FLD,FORT PAYNE,US,PU,PU,04/22,34.46840333,-85.72668377,34.47899166,-85.71611491,5001,100,ASPH,GOOD,GRVD,,,,,,MED,NACO,8/7/2002 12:00:00 AM,16,,,,4.55784493169631E-06,0.0305405997141478
54,7/11/2024 12:00:00 AM,00329.,A,AL,OZR,CAIRNS AAF (FORT NOVOSEL),FORT NOVOSEL (OZARK),US,MR,PR,06/24,31.27061027,-85.72036527,31.27672277,-85.70767166,4546,150,ASPH,,NONE,44,F,A,W,T,HIGH,MILITARY,4/30/2005 12:00:00 AM,,,,,6.00085331825539E-06,0.0290363901390631
55,7/11/2024 12:00:00 AM,00329.,A,AL,OZR,CAIRNS AAF (FORT NOVOSEL),FORT NOVOSEL (OZARK),US,MR,PR,18/36,31.2845925,-85.71261194,31.27078,-85.71288166,5025,150,ASPH,,NONE,35,F,A,W,T,MED,MILITARY,4/30/2005 12:00:00 AM,,,,,6.63259652355919E-06,0.0285904719685831
56,7/11/2024 12:00:00 AM,00333.,A,AL,GAD,NORTHEAST ALABAMA RGNL,GADSDEN,US,PU,PU,06/24,33.96583855,-86.10107622,33.97497133,-86.08150011,6802,150,ASPH,FAIR,GRVD,,,,,,HIGH,3RD PARTY SURVEY,9/27/2005 12:00:00 AM,90,115,195,,9.24777623367845E-06,0.0440699495335204
57,7/11/2024 12:00:00 AM,00333.,A,AL,GAD,NORTHEAST ALABAMA RGNL,GADSDEN,US,PU,PU,18/36,33.98242694,-86.08592777,33.96922244,-86.0859983,4806,100,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,9/27/2005 12:00:00 AM,25,40,78,,4.3553104660532E-06,0.0270690379231374
58,7/11/2024 12:00:00 AM,00344.1,A,AL,33J,GENEVA MUNI,GENEVA,US,PU,PU,11/29,31.05426388,-85.87503611,31.05098611,-85.86285,3998,100,ASPH,GOOD,NONE,,,,,,MED,ARPTS CONTRACTOR,10/25/2012 12:00:00 AM,16,,,,3.50985624208988E-06,0.0257967695240222
59,7/11/2024 12:00:00 AM,00350.1,A,AL,7A0,GREENSBORO MUNI,GREENSBORO,US,PU,PU,18/36,32.68635861,-87.66205236,32.67672213,-87.66208586,3506,79,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,9/11/2019 12:00:00 AM,16,,,,2.47411162490607E-06,0.0197865641224833
60,7/11/2024 12:00:00 AM,00353.1,A,AL,PRN,MAC CRENSHAW MEML,GREENVILLE,US,PU,PU,14/32,31.85145641,-86.61647094,31.83992922,-86.60500719,5501,80,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,7/10/2007 12:00:00 AM,15,,,,3.89536648981448E-06,0.0329993025240284
61,7/11/2024 12:00:00 AM,00359.7,A,AL,JKA,GULF SHORES INTL/JACK EDWARDS FLD,GULF SHORES,US,PU,PU,09/27,30.29028425,-87.68024391,30.2903205,-87.65818566,6962,100,ASPH,GOOD,GRVD,30,F,B,X,T,HIGH,NACO,9/30/2003 12:00:00 AM,80,100,,,6.06489447818603E-06,0.0446664586462489
62,7/11/2024 12:00:00 AM,00359.7,A,AL,JKA,GULF SHORES INTL/JACK EDWARDS FLD,GULF SHORES,US,PU,PU,17/35,30.29325525,-87.67723547,30.28340344,-87.67626211,3596,75,ASPH,GOOD,NONE,23,F,B,X,T,MED,3RD PARTY SURVEY,4/26/2006 12:00:00 AM,80,100,,,2.3495329060097E-06,0.0202743585698892
63,7/11/2024 12:00:00 AM,00360.,A,AL,8A1,GUNTERSVILLE MUNI/JOE STARNES FLD,GUNTERSVILLE,US,PU,PU,06W/24W,34.40583333,-86.26666666,34.41222222,-86.25013888,5500,200,WATER,,NONE,,,,,,,OWNER,3/31/2016 12:00:00 AM,,,,,1.00219369869592E-05,0.0365822139145649
64,7/11/2024 12:00:00 AM,00360.,A,AL,8A1,GUNTERSVILLE MUNI/JOE STARNES FLD,GUNTERSVILLE,US,PU,PU,07/25,34.40019019,-86.2711155,34.40594952,-86.25604813,5005,75,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,11/22/2015 12:00:00 AM,24,,,,3.41930149261316E-06,0.0326894550940158
65,7/11/2024 12:00:00 AM,00363.,A,AL,1M4,POSEY FLD,HALEYVILLE,US,PU,PU,18/36,34.28720183,-87.60018502,34.27344775,-87.60067208,5008,100,ASPH,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,8/7/2008 12:00:00 AM,20,,,,4.55478971161938E-06,0.0281873435964224
66,7/11/2024 12:00:00 AM,00366.1,A,AL,HAB,MARION COUNTY-RANKIN FITE,HAMILTON,US,PU,PU,18/36,34.12448647,-87.99791641,34.10939619,-87.99851116,5495,100,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,10/9/2008 12:00:00 AM,15,,,,4.98817871630308E-06,0.0308646373615511
67,7/11/2024 12:00:00 AM,00374.1,A,AL,5M0,HARTSELLE/MORGAN COUNTY RGNL,HARTSELLE,US,PU,PU,18/36,34.41316594,-86.93287219,34.40327783,-86.93301727,3599,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,6/29/2011 12:00:00 AM,20,,,,2.45875639848236E-06,0.0202756160364422
68,7/11/2024 12:00:00 AM,00375.5,A,AL,M38,HAZEL GREEN,HAZEL GREEN,US,PR,PU,07/25,34.91501666,-86.65128611,34.91724722,-86.64280555,2670,40,ASPH,GOOD,NONE,,,,,,LOW,OWNER,7/2/2007 12:00:00 AM,10,,,,9.78358229986043E-07,0.0177625556170103
69,7/11/2024 12:00:00 AM,00376.,A,AL,HDL,HEADLAND MUNI,HEADLAND,US,PU,PU,09/27,31.36385691,-85.3190763,31.36363655,-85.30306186,5002,80,ASPH,FAIR,NONE,,,,,,MED,OWNER,6/28/2006 12:00:00 AM,12,,,,3.52238726009091E-06,0.0324717775768678
70,7/11/2024 12:00:00 AM,00376.,A,AL,HDL,HEADLAND MUNI,HEADLAND,US,PU,PU,17/35,31.3687365,-85.31548136,31.36089569,-85.31461175,2865,162,TURF,GOOD,NONE,,,,,,,3RD PARTY SURVEY,1/27/2010 12:00:00 AM,,,,,4.08781920668844E-06,0.0168145567543563
71,7/11/2024 12:00:00 AM,00385.1,A,AL,HSV,HUNTSVILLE INTL-CARL T JONES FLD,HUNTSVILLE,US,PU,PU,18L/36R,34.65309847,-86.76546475,34.62562486,-86.76601719,10001,150,ASPH,FAIR,GRVD,105,F,B,W,T,HIGH,3RD PARTY SURVEY,3/9/2017 12:00:00 AM,120,250,550,,1.37017275392282E-05,0.0559555928662921
72,7/11/2024 12:00:00 AM,00385.1,A,AL,HSV,HUNTSVILLE INTL-CARL T JONES FLD,HUNTSVILLE,US,PU,PU,18R/36L,34.6527855,-86.78210047,34.618171,-86.78279083,12600,150,ASPH-CONC,EXCELLENT,GRVD,120,F,A,X,T,HIGH,3RD PARTY SURVEY,3/9/2017 12:00:00 AM,120,250,550,,1.72622244463128E-05,0.070239985932199
73,7/11/2024 12:00:00 AM,00385.2,A,AL,3M5,MOONTOWN,HUNTSVILLE,US,PR,PU,09/27,34.74742097,-86.46459552,34.74731786,-86.45733822,2180,160,TURF,GOOD,NONE,,,,,,LOW,,,,,,,3.19082096211787E-06,0.015395335867791
74,7/11/2024 12:00:00 AM,00385.3,A,AL,4AL8,MILTON,HUNTSVILLE,US,PR,PR,13/31,34.4926,-86.6762,34.48848333,-86.67066666,2242,200,TURF,,NONE,,,,,,,,,,,,,4.08790492656408E-06,0.0149998550806164
75,7/11/2024 12:00:00 AM,00385.4,A,AL,MDQ,HUNTSVILLE EXEC TOM SHARP JR FLD,HUNTSVILLE,US,PU,PU,18/36,34.86828027,-86.55733777,34.85042405,-86.55768977,6500,100,ASPH,FAIR,GRVD,,,,,,MED,3RD PARTY SURVEY,1/27/2021 12:00:00 AM,92,139,208,,5.95260280533694E-06,0.0363859901541707
76,7/11/2024 12:00:00 AM,00387.,A,AL,AL05,SEHOY,HURTSBORO,US,PR,PR,04/22,32.216062,-85.476956,32.22661,-85.46661,5000,75,ASPH,GOOD,NONE,,,,,,MED,FAA-EST IMAGERY,7/10/2012 12:00:00 AM,,,,,3.33048205902742E-06,0.030006556462793
77,7/11/2024 12:00:00 AM,00387.01,A,AL,38AL,SAWTOOTH PLANTATION,HURTSBORO,US,PR,PR,04/22,32.16527777,-85.40666666,32.17138888,-85.40083333,2863,100,TURF,,NONE,,,,,,,ADO,2/22/2023 12:00:00 AM,,,,,2.54378733188787E-06,0.01750633046189
78,7/11/2024 12:00:00 AM,00394.1,A,AL,4R3,JACKSON MUNI,JACKSON,US,PU,PU,01/19,31.46376388,-87.89712777,31.47735555,-87.894675,5003,80,ASPH,EXCELLENT,NONE,,,,,,MED,NACO,8/4/2003 12:00:00 AM,25,,,,3.52892675437033E-06,0.028134006358404
79,7/11/2024 12:00:00 AM,00401.3,A,AL,JFX,WALKER COUNTY-BEVILL FLD,JASPER,US,PU,PU,09/27,33.90220919,-87.32207875,33.9017625,-87.30559725,5004,100,ASPH,FAIR,NONE,,,,,,MED,NGS,11/18/2009 12:00:00 AM,50,,,,4.53137317890651E-06,0.0335248174913938
80,7/11/2024 12:00:00 AM,00410.1,A,AL,7A3,LANETT RGNL,LANETT,US,PU,PU,06/24,32.80731733,-85.23644877,32.81636869,-85.22252333,5400,75,CONC,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,10/26/2022 12:00:00 AM,,,,,3.62228729500202E-06,0.0336592009518189
81,7/11/2024 12:00:00 AM,00425.1,A,AL,04A,FRANK SIKES,LUVERNE,US,PU,PU,04/22,31.73172988,-86.26757272,31.741044,-86.25733652,4649,80,ASPH,POOR,NONE,,,,,,NSTD,,,15,,,,3.28804640048475E-06,0.0281600817193634
